occurrenceID	institutionCode	year	month	day	eventID	time_start_utc	time_start_utc_text	time_stop_utc	time_stop_utc_text	Sea State (BF)	Cloud cover (%)	Vessel speed (nm)	latitude_start_degree	latitude_start_decimal_minute	longitude_start_degree	longitude_start_decimal_minute	latitude_stop_degree	latitude_stop_decimal_minute	longitude_stop_degree	longitude_stop_decimal_minute	geodeticDatum	vernacularName	individualCount	verbatimIdentification	verbatimScientificName	identificationQualifier	scientificNameID	kingdom	phylum	class	order	family	genus	specificEpithet	scientificNameAuthorship	scientificName	taxonRank	identifiedBy	waterBody	higherGeographyID	basisOfRecord	recordedBy	recordedByID	eventRemarks	locality	verbatimLocality	remark	reportedWeather	identificationRemarks	occurrenceStatus	samplingProtocol	time_start	time_stop	eventTime	eventDate	decimalLatitude_start	decimalLongitude_start	decimalLatitude_end	decimalLongitude_end	footprintWKT	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters
38	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Wilson's Storm-petrel	9	Oceanites oceanicus	Oceanites oceanicus		urn:lsid:marinespecies.org:taxname:137190	Animalia	Chordata	Aves	Procellariiformes	Hydrobatidae	Oceanites	oceanicus	(Kuhl, 1820)	Oceanites oceanicus (Kuhl, 1820)	species	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
39	ULB - EMC2	2023	2	14	TOPP_7	16.00	16:00:00	16.30	16:30:00	3	80		56	23.07	67	7.91	56	26.35	67	7.97	EPSG:4326	Dolphin sp.	1	Lagenorynchus sp.	Lagenorynchus	sp.	urn:lsid:marinespecies.org:taxname:137020	Animalia	Chordata	Mammalia	Cetartiodactyla	Delphinidae	Lagenorhynchus		Gray, 1846	Lagenorynchus Gray, 1846	genus	Henri Robert	Drake passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	16:00	16:30	16:00Z/16:30Z	2023-02-14	-55.6155	-66.8682	-55.5608	-66.8672	LINESTRING (-66.8682 -55.6155, -66.8672 -55.5608)	-66.8677	-55.5881	3044
378	ULB - EMC2	2023	3	14	TOPP_70	5.30	05:30:00	6.00	06:00:00	3	80		61	11.5	64	57	61	8.9	65	4.3	EPSG:4326	Grey-headed Albatross	1	Thalassarche chrysostoma	Thalassarche chrysostoma		urn:lsid:marinespecies.org:taxname:225760	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	chrysostoma	(Forster, 1785)	Thalassarche chrysostoma (Forster, 1785)	species	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	05:30	06:00	05:30Z/06:00Z	2023-03-14	-60.8083	-63.05	-60.8517	-64.9283	LINESTRING (-63.0500 -60.8083, -64.9283 -60.8517)	-63.9891	-60.8300	51029
379	ULB - EMC2	2023	3	14	TOPP_70	5.30	05:30:00	6.00	06:00:00	3	80		61	11.5	64	57	61	8.9	65	4.3	EPSG:4326	Soft-plumaged Petrel	6	Pterodroma mollis	Pterodroma mollis		urn:lsid:marinespecies.org:taxname:137199	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pterodroma	mollis	(Gould, 1844)	Pterodroma mollis (Gould, 1844)	species	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	05:30	06:00	05:30Z/06:00Z	2023-03-14	-60.8083	-63.05	-60.8517	-64.9283	LINESTRING (-63.0500 -60.8083, -64.9283 -60.8517)	-63.9891	-60.8300	51029
380	ULB - EMC2	2023	3	14	TOPP_70	5.30	05:30:00	6.00	06:00:00	3	80		61	11.5	64	57	61	8.9	65	4.3	EPSG:4326	Prion sp.	4	Pachyptila sp.	Pachyptila	sp.	urn:lsid:marinespecies.org:taxname:204680	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pachyptila		Illiger, 1811	Pachyptila Illiger, 1811	genus	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	05:30	06:00	05:30Z/06:00Z	2023-03-14	-60.8083	-63.05	-60.8517	-64.9283	LINESTRING (-63.0500 -60.8083, -64.9283 -60.8517)	-63.9891	-60.8300	51029
381	ULB - EMC2	2023	3	14	TOPP_70	5.30	05:30:00	6.00	06:00:00	3	80		61	11.5	64	57	61	8.9	65	4.3	EPSG:4326	Diving Petrel sp.	1	Pelecanoides sp.	Pelecanoides	sp.	urn:lsid:marinespecies.org:taxname:225749	Animalia	Chordata	Aves	Procellariiformes	Pelecanoididae	Pelecanoides		Lacepède, 1799	Pelecanoides Lacepède, 1799	genus	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	05:30	06:00	05:30Z/06:00Z	2023-03-14	-60.8083	-63.05	-60.8517	-64.9283	LINESTRING (-63.0500 -60.8083, -64.9283 -60.8517)	-63.9891	-60.8300	51029
382	ULB - EMC2	2023	3	14	TOPP_71	6.00	06:00:00	6.30	06:30:00	3	90		61	8.9	65	4.3	61	6.3	65	10.4	EPSG:4326	Black-browed Albatross	1	Thalassarche melanophris	Thalassarche melanophris		urn:lsid:marinespecies.org:taxname:343995	Animalia	Chordata	Aves	Procellariiformes	Diomedeidae	Thalassarche	melanophris	(Temminck, 1828)	Thalassarche melanophris (Temminck, 1828)	species	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	06:00	06:30	06:00Z/06:30Z	2023-03-14	-60.8517	-64.9283	-60.895	-64.8267	LINESTRING (-64.9283 -60.8517, -64.8267 -60.8950)	-64.8775	-60.8734	3659
383	ULB - EMC2	2023	3	14	TOPP_71	6.00	06:00:00	6.30	06:30:00	3	90		61	8.9	65	4.3	61	6.3	65	10.4	EPSG:4326	Soft-plumaged Petrel	4	Pterodroma mollis	Pterodroma mollis		urn:lsid:marinespecies.org:taxname:137199	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pterodroma	mollis	(Gould, 1844)	Pterodroma mollis (Gould, 1844)	species	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	06:00	06:30	06:00Z/06:30Z	2023-03-14	-60.8517	-64.9283	-60.895	-64.8267	LINESTRING (-64.9283 -60.8517, -64.8267 -60.8950)	-64.8775	-60.8734	3659
384	ULB - EMC2	2023	3	14	TOPP_71	6.00	06:00:00	6.30	06:30:00	3	90		61	8.9	65	4.3	61	6.3	65	10.4	EPSG:4326	Prion sp.	6	Pachyptila sp.	Pachyptila	sp.	urn:lsid:marinespecies.org:taxname:204680	Animalia	Chordata	Aves	Procellariiformes	Procellariidae	Pachyptila		Illiger, 1811	Pachyptila Illiger, 1811	genus	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	06:00	06:30	06:00Z/06:30Z	2023-03-14	-60.8517	-64.9283	-60.895	-64.8267	LINESTRING (-64.9283 -60.8517, -64.8267 -60.8950)	-64.8775	-60.8734	3659
385	ULB - EMC2	2023	3	14	TOPP_71	6.00	06:00:00	6.30	06:30:00	3	90		61	8.9	65	4.3	61	6.3	65	10.4	EPSG:4326	Diving Petrel sp.	1	Pelecanoides sp.	Pelecanoides	sp.	urn:lsid:marinespecies.org:taxname:225749	Animalia	Chordata	Aves	Procellariiformes	Pelecanoididae	Pelecanoides		Lacepède, 1799	Pelecanoides Lacepède, 1799	genus	Henri Robert	Drake Passage		HumanObservation	Henri Robert | Bruno Danis	https://orcid.org/0000-0002-9037-7623							present	Top Predators census (page 88) https://doi.org/10.5281/zenodo.8013721	06:00	06:30	06:00Z/06:30Z	2023-03-14	-60.8517	-64.9283	-60.895	-64.8267	LINESTRING (-64.9283 -60.8517, -64.8267 -60.8950)	-64.8775	-60.8734	3659
